Title,Link,Author,PDF Link,Description,Thumbnail
Thangwang and Bhalluka,https://freekidsbooks.org/thangwang-and-bhalluka/,Mala Kumar and  Jithin Jacob,https://freekidsbooks.org/wp-content/uploads/2023/02/2302-ThanwangandBhalluka-FKB.pdf,"Baby Thangwang and Bhalluka the Bear are best friends. They like to talk and growl together,  This cute short story has lots of sound words for early readers to practice sounding out or to have fun sounding out when reading to a toddler / kindergartener. Sample Page – Thangwang and Bhalluka Baby Thangwang likes to …",https://freekidsbooks.org/wp-content/uploads/2023/04/2304-the_good_fox-a_new_fable-FKB.jpg
Don’t Be a Bully – Be Nice Book 3 – Revised Edition,https://freekidsbooks.org/dont-be-a-bully-be-nice-book-3-revised-edition/,Danielle Bruckert and Zehnya Bruckert,https://freekidsbooks.org/wp-content/uploads/2023/02/FKB_Learn-Sight-Words-Print_friendly-Dont_Be_a_Bully-VZ.pdf,"Don’t be a Bully is a short simple book for young children, and beginner ESL readers, promoting values of anti-bullying and anti-discrimination. This book teaches children ten important life lessons about values and the importance of treating everyone equal, no matter what race, religion, gender, or abilities. There are exercises supporting the topics at the …","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
My Wild Life – Early Reader,https://freekidsbooks.org/my-wild-life-early-reader/,"Illustrated by Kseniia Kudriavtseva, Written by Danielle Bruckert",https://freekidsbooks.org/wp-content/uploads/2022/12/My-Wild-Life.pdf,"What if you had a manatee in our bathtub, or a bison in your bed? Would you enjoy them there? Wild animals in your house sound like fun but find out more in this fun story that helps children learn the sounds and spelling of ere, ear, ier, air, are. Sample Text and First Page …",https://freekidsbooks.org/wp-content/uploads/2023/03/2303-The-Golden-Flower.jpg
Catch that Cat!,https://freekidsbooks.org/catch-that-cat/,"Illustrated by Lindy Pelzl, Written by Megan Pirie",https://freekidsbooks.org/wp-content/uploads/2022/12/2211-catch-that-cat_en-FKB.pdf,"The Cat has stolen a sock and then ran off, but is there a reason why she stole the sock? Find out more in Catch that Cat from BookDash. Sample Text from Catch that Cat! Hurry. Hurry! Help me, catch that cat! She stole my sock and ran off … snatch her. Grab her. Catch …","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
How to Be Happy – Be Nice Book 2 – Revised Edition,https://freekidsbooks.org/how-to-be-happy-be-nice-book-2-revised-edition/,Compiled by Danielle Bruckert and Zehnya Bruckert,https://freekidsbooks.org/wp-content/uploads/2022/11/FKB_Learn-Sight-Words-Print_friendly-How_to_be_Happy-VZ.pdf,"10 life lessons on how to be happy by 10 friendly animal characters, including sight words and activities, perfect for school use, in a pdf and editable children’s book released under CC-BY-NC.",https://freekidsbooks.org/wp-content/uploads/2023/03/2303-DOING_MY_CHORES-By-Monkey-Pen_FKB.jpg
The Confessions of Henry Hooter the Third – And other fun poems for kids,https://freekidsbooks.org/the-confessions-of-henry-hooter-the-third-fun-poems-for-kids/,Gabriel Rosenstock,https://www.amazon.co.uk/s?k=gabriel+rosenstock&i=stripbooks&ref=nb_sb_noss,The Confessions of Henry Hooter the Third contains over 50 poems mostly written in rhyme for young children. Sample Text – The Confessions Of Henry Hooter The Third Sadly the dawn light seeps from the skies He closes his eyes Counts black sheep Cannot sleep. “I am tired of being wise … I’m not wise. …,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
A Cat for Santa,https://freekidsbooks.org/a-cat-for-santa/,T Ferries,https://freekidsbooks.org/wp-content/uploads/2022/10/2210-a-cat-for-santa-FKB.pdf,"A kitten is tricked by a bad fairy and falls into a well. Fortunately, some good fairies hear her calls for help and rescue her. The kitten cannot remember where she came from so the good fairies take her back to their home at the North Pole where she helps Santa and Mrs. Claus. The …",https://freekidsbooks.org/wp-content/uploads/2022/10/2210_HENRY_HOOTER-FKB.jpg
"Always Be Nice – 10 lessons in kindness, revised edition",https://freekidsbooks.org/always-be-nice-10-lessons-in-kindness-revised-edition/,Danielle Bruckert and Zehnya Bruckert,https://freekidsbooks.org/wp-content/uploads/2022/08/FKB_Learn-Sight-Words-Print_friendly-Always_Be_Nice-VZ.pdf,Always be Nice is a short book for young children promoting kindness and manners and can be used as an early reader. The book is perfect for building confidence in reading with only 28 words most of which are simple words. This book also teaches kids ten important lessons about being kind to others. Each …,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
The Azapazaz Bunch and the Amazing Akroozer Flying Machines,https://freekidsbooks.org/the-azapazaz-bunch-and-the-amazing-akroozer-flying-machines/,Tracie Johansen,https://freekidsbooks.org/wp-content/uploads/2022/08/AmazingAkroozerFlyingMachines_FKB.pdf,"Tracie Johansen Azpazaz bunch are back with an epic, whimsical, rhyming adventure in their Akroozer Flying Machines. Packed full of prepositions, adverbs, and adjectives along with the rhyme, this can be suitable for fun or as an early reader. Sample Text from Amazing Akroozer Flying Machines Are you ready to go on an adventure with …",https://freekidsbooks.org/wp-content/uploads/2022/10/2210-a-cat-for-santa-FKB.jpg
The Friendly Needle – All about getting a vaccination,https://freekidsbooks.org/the-friendly-needle-all-about-getting-a-vaccination/,Brandon Green,https://freekidsbooks.org/wp-content/uploads/2022/07/The-Friendly-Needle-Brandon-Green-FKB.pdf,"Getting a vaccination can be very scary. The Friendly Needle, in this charming illustrated story, tells Jack all about how vaccinations can help protect him. After focussing on all the positives, the pinch didn’t hurt Jack as much as he thought it would. If your child needs to get a vaccination this is a great …","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
My Body is Mine! – Providing awareness of abuse for young children,https://freekidsbooks.org/my-body-is-mine-providing-awareness-of-abuse-for-young-children/,East Carolina University,https://freekidsbooks.org/wp-content/uploads/2022/06/My-Body-is-MINE-ECU-FKB.pdf,My Body is Mine is a short and powerful book for children to help them become aware of the nature of abuse and how important it is to speak to a parent or trusted adult. The book also provides some guidance pages for adults on how to identify signs and how to handle a child’s …,https://freekidsbooks.org/wp-content/uploads/2019/10/Always-Be-Nice-.jpg
Hygiene Helps – Hygiene tips for kids,https://freekidsbooks.org/hygiene-helps-hygiene-tips-for-kids/,compiled by Danielle Bruckert,https://freekidsbooks.org/wp-content/uploads/2022/05/hygiene-helps-FKB.pdf,Teach your children proper hygiene and why it’s important in this short book for children about hygiene,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Kumquat Goes to Austrailia,https://freekidsbooks.org/kumquat-goes-to-austrailia/,"Written by Ira Filontseva, Illustrated by Rene Macarthur",https://freekidsbooks.org/wp-content/uploads/2022/05/Kumquat-goes-to-Australia-FKB.pdf,"Kumquat, an adorable Collie-cross, is going to Austrailia. This fun book shows Kumquat in all the fun adventures he has there. Eating vegemite, cuddling koalas and kangaroos, and many more. Kumquat’s family created this endearing book to help raise funds for the very costly trip. You can read all about it here: https://gogetfunding.com/help-kumquat-get-to-australia/ If you …",https://freekidsbooks.org/wp-content/uploads/2022/08/AmazingAkroozerFlyingMachines.jpg
Kittens – Bookbot Series 10,https://freekidsbooks.org/kittens-bookbot-series-10/,Bel Richardson,https://freekidsbooks.org/wp-content/uploads/2022/04/Kittens_FKB.pdf,Another BookBot decodable reader is back this time with a bunch of very cute kittens. A cute short story for early readers. Bookbot provides a series of decodable readers for children learning to read. See more of BookBots books at www.bookbotkids.com/phonics-books. or here on Free Kids Books below:,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
I Can Paint – BookBot early reader,https://freekidsbooks.org/i-can-paint-bookbot-early-reader/,Bel Richards and Mykyta Harets,https://freekidsbooks.org/wp-content/uploads/2022/04/I-Can-Paint_FKB.pdf,I can Paint!I can paint a train.A train in rain.A train in Spain!,https://freekidsbooks.org/wp-content/uploads/2022/07/the_friendly_needle_cover.jpg
Brave Bora – A trip to the Doctor,https://freekidsbooks.org/brave-bora-a-trip-to-the-doctor/,"Edna Gicovi, Ellen Heydenrych, Raeesah Vawda",https://freekidsbooks.org/wp-content/uploads/2022/03/brave-bora_BookDash-FKB.pdf,"Follow Bora with her toy Monkey Jojo and her Baba on a trip to the Doctor to get a scary injection. Find out if she can overcome her fears and how.   This book was brought to us by BookDash, see more from BookDash here on FKB below:","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
An Unexpected Adventure – Wordless Fun,https://freekidsbooks.org/an-unexpected-adventure-wordless-fun/,"Illustrated by Emma Bosman, Written by Carina Jooste, Designed by Nadene Kriel",https://freekidsbooks.org/wp-content/uploads/2022/03/an_unexpected_adventure_en_20211018-BookDash-FKB.pdf,"In An Unexpected Adventure, a boy finds some exciting scenarios on a trip to the Library. In this book you can make your own words, teachers can use it as a word prompt for students, or it can be a fun exercise for parents and children to make their own words, it’s also very suitable …",https://freekidsbooks.org/wp-content/uploads/2022/03/brave-bora_cover-scaled.jpg
Lets Cook with Kids – Vamos a Cocinar con los Niños,https://freekidsbooks.org/lets-cook-with-kids-vamos-a-cocinar-con-los-nin%cc%83os/,North East Valley Health,https://freekidsbooks.org/wp-content/uploads/2022/02/Lets-Cook-With-Kids-FKB.pdf,"Have fun cooking with your child with these simple yet delicious recipes. Find fun ways to make healthy food more delicious and appealing to kids. Find great snack ideas for lunches and parties or find healthy full meals for breakfast, lunch, or dinner, and many fun yet healthy desserts, all packed full of fruit, vegetables, …","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Horse Colouring Pages by Peaksel – Cute Colouring for Young Children,https://freekidsbooks.org/horse-colouring-pages-by-peaksel-cute-colouring-for-young-children/,Peaksel,https://freekidsbooks.org/wp-content/uploads/2022/01/Horse_Coloring_Pages_–_Printable_Coloring_Book_For_Kids-Peaksel-FKB.pdf,"The Horse Colouring Pages contains 20 pages of adorable horses and unicorns perfect for young children. For children who love horses, this is a fun-filled series of colouring pages. See more books by Peaksel here on FKB – https://freekidsbooks.org/author/peaksel/ The Dragon Colouring Book Butterfly Colouring Book The Dinosaur Colouring Book Sample pages from Horse Colouring Book …",https://freekidsbooks.org/wp-content/uploads/2022/03/An-unexpected-adventure-wordless-cover.jpg
"Nursery Rhymes, Fingerplays, and Songs for Circle Time",https://freekidsbooks.org/nursery-rhymes-fingerplays-and-songs-for-circle-time/,Leeds Grenville and Lanark District Health Unit,https://freekidsbooks.org/wp-content/uploads/2022/01/Nursery-Rhymes-Fingerplays-and-Songs-for-Circle-Time.pdf,"Enjoy this bumper book of 57 nursery rhymes, fingerplays, and songs for circle time. If you enjoyed this book see more books like this in our nursery rhymes section.","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Alphabet Colouring Book – Cambridge English,https://freekidsbooks.org/alphabet-colouring-book-cambridge-english/,Cambridge English,https://freekidsbooks.org/wp-content/uploads/2021/12/alphabet-colouring-book-Cambridge.pdf,"This Cambridge Alphabet Colouringbook is built on words from from the Cambridge English: Young Learners Word List. They cover all three levels: Starters, Movers and Flyers. You can use this colouring book to help children learn new words in a fun way and improve their English. It includes many of the words children might see …",https://freekidsbooks.org/wp-content/uploads/2022/02/Lets-cook-with-kids-FKB-cover.jpg
Where are the Animals? – Camouflage in the Artic from Wordscientists,https://freekidsbooks.org/where-are-the-animals-camouflage-in-the-artic-from-wordscientists/,"Written by Yenny Suh, Illustrated by George Carrara and Genn Lotysh",https://freekidsbooks.org/wp-content/uploads/2021/11/Where-are-the-animals-wordscientists-FKB.pdf,"Word Scientists are back with another great early reader, this time our student conservationists, Peg and Datiz are in search of Arctic animals. Peg and Datiz see, or almost don’t see, many camouflaged Arctic animals, and finally find a polar bear. This book is suitable for developing Readers. This book is available in an editable …","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Baby Aviva Orangutan Diva,https://freekidsbooks.org/baby-aviva-orangutan-diva/,"Written by Hans Kullberg, Illustrated by Carl Mefferd",https://www.amazon.com/dp/B09GG8SYD2 ,Baby Aviva the Orangutan Diva is looking for Bananas to feed her family. But there are lots of treacherous obstacles in her path. Find out how Baby Aviva uses all her resources to save the day and get the Bananas back to her family. Download or read online the full colouring book of Baby Aviva …,https://freekidsbooks.org/wp-content/uploads/2022/01/Horse_Coloring_Pages_–_Printable_Coloring_Book_For_Kids-Peaksel-FKB.jpg
Polar Bears in the Arctic – Learn to Read with WordScientists,https://freekidsbooks.org/polar-bears-in-the-arctic-learn-to-read-with-wordscientists/,"Written by Yenny Sue, Photos Peg and Datiz, Illustrations George Carrara and Glenn Lotysh",https://freekidsbooks.org/wp-content/uploads/2021/10/Polar_Bears_in_the_Arctic-wordscientists-FKB.pdf,"This short book about polar bears from Wordscientists, edited by FKB, introduces easy to read CVC words and builds confidence for early readers. The book is available in pdf, read online, and an editable download. Text from Polar Bears in the Arctic Introduction (teacher or parent reads): Peg and Datiz go to the Arctic Circle …","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Always Be Good – FKB Be Nice Series Book 5,https://freekidsbooks.org/always-be-good-fkb-be-nice-series-book-5/,Danielle Bruckert,https://freekidsbooks.org/wp-content/uploads/2022/07/FKB_Learn-Sight-Words-Print_friendly-Always_Be_Good.pdf,"Always Be Good is a short simple book for young children, and beginner ESL readers, promoting important behaviours young children need to learn. Book 5 in the FKB Always Be Nice series featuring cute animals and alliteration.",https://freekidsbooks.org/wp-content/uploads/2022/01/Nursery-Rhymes-Fingerplays-and-Songs-for-Circle-Time.jpg
Lion Queen – An iPop! adaption of three bears,https://freekidsbooks.org/lion-queen-an-ipop-adaption-of-three-bears/,iPop! Labs,https://freekidsbooks.org/wp-content/uploads/2021/09/LionQueen_Grade3-5-ipop-FKB.pdf,Lion Queen is a super adaption of the classic tale of three bears. IPop! Labs include whimsical phrases and cute characters with a twist at the end to make this a fun rendition of the favourite tale. Sample Page from Lion Queen Read the full book by selecting one of the buttons below the post. …,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Meera and Ameera – Imaginary Friends,https://freekidsbooks.org/meera-and-ameera-imaginary-friends/,"Author: Nimmy Chacko, Illustrator: Lavanya Naidu",https://freekidsbooks.org/wp-content/uploads/2021/07/meera-and-ameera-pratham-FKB.pdf,Meera and Ameera are best of friends. Strangely Meera is the only one who can see Ameera. That’s probably because she is an imaginary porcupine. Join the two friends in their many adventures real and made up. Sample Text From Meera and Ameera Meera and I are a team. She’s my most favourite person in …,https://freekidsbooks.org/wp-content/uploads/2021/09/LionQueen_Grade3-5-ipop-FKB-cover.jpg
Body Chemistry – Monster Me,https://freekidsbooks.org/body-chemistry-monster-me/,iPop! Labs,https://freekidsbooks.org/wp-content/uploads/2021/07/BodyChemistry_Grade3-5-iPOP-FKB.pdf,"The monsters are back with humour and body chemistry, check out their latest adventure and find out why one monster is always hungry. Read this fun book by selecting one of the buttons below the post.         Read more from iPop! Labs below","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Who’s to Say – Inspirational Thoughts,https://freekidsbooks.org/whos-to-say-inspirational-thoughts/,Dr Deven Tellis,https://www.amazon.com/dp/1735263745,"Who’s to Say is the first book of affirmations in ‘The Amazingly Affirmed’ children’s book series. This 33 page picture book for young readers is aimed to encourage them to have big dreams and aspirations. Through colorful illustrations and encouraging words, readers will journey down the path of possibility, and cheer themselves on along every …",https://freekidsbooks.org/wp-content/uploads/2021/07/meera-and-ameera-pratham-FKB.jpg
Sani and Suri,https://freekidsbooks.org/sani-and-suri/,"Author: Shilpi Pradhan, Illustrator: Yuvaka Srestha",https://freekidsbooks.org/wp-content/uploads/2021/07/sani-and-suri-RTR-FKB.pdf,"Sani loves her cat Suri. One day Suri is missing. Sani searches high and low, far and wide, will she find Suri? This is a level 1 book for children just beginning on their reading journey. Sample Text from Sani and Suri Sani had a small cat. Its name was Suri. Sani loved Suri very …","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
All Phones and Games – Monster Me,https://freekidsbooks.org/all-phones-and-games-monster-and-me/,iPOP! Labs,https://freekidsbooks.org/wp-content/uploads/2021/06/AllPhoneandGames_iPOP-FKB.pdf,"Monster Newmon has a story about a puppet show he put on, but the other monsters are busy making havoc with their phones. Do Newmon’s feelings get hurt? Read this debut book from iPop! Labs by selecting one of the buttons below the post. Read more from iPop! Labs below:",https://freekidsbooks.org/wp-content/uploads/2021/07/BodyChemistry_Grade3-5-iPOP-FKB.jpg
Malar’s Big House,https://freekidsbooks.org/malars-big-house/,Author: Thirupurasundari Sevvel Illustrator: Ankitha Kini,https://freekidsbooks.org/wp-content/uploads/2021/05/malar-s-big-house-Pratham-FKB.pdf,"Malar’s building a big house, but will she manage to keep her house standing? Find out in Malar’s Big House. Sample Text from Malar’s Big House Today, Malar is going to build a big house! “I can use these!” “My big house will be this high!” says Malar. “And this wide!” <End of sample from …","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Alphabeti-cool, Painted ABCs",https://freekidsbooks.org/alphabeti-cool-painted-abcs/,Rebecca Bielawski,https://www.amazon.com/Alphabeti-cool-painted-ABCs-Rebecca-Bielawski/dp/1482554992/,"A B C D E F G so many letters on the alphabet tree. H I J K L M N O P spell all the words for the things we see. Q R S T U V, W’s a tricky one, then X Y and Z ! Captivate and cultivate the imagination while teaching …",https://freekidsbooks.org/wp-content/uploads/2021/07/Deven-Interior_Whos-to-Say-10_1_20-FKB.jpg
I Can Dress Myself – Wordless Book,https://freekidsbooks.org/i-can-dress-myself-wordless-book/,"Author: Bridget Krone, Illustrator: Heidel Dedekind",https://freekidsbooks.org/wp-content/uploads/2021/05/i-can-dress-myself-BD-FKB.pdf,I Can Dress Myself is an amusing short wordless book about a child getting herself dressed while Mum is sleeping. Have fun making up some words or have your child guess what is going on in each picture. This story was brought to us by BookDash. Listen to a narration created by Kiwi Opa: If …,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Chiu’s Powers,https://freekidsbooks.org/chius-powers/,Shrujana Shridhar,https://freekidsbooks.org/wp-content/uploads/2021/05/chiu-s-power-pratham-FKB.pdf,Chiu sees exciting things that others cannot – flying rockets and fish swimming on the blackboard. Ajji takes Chiu to the eye doctor to find out about her magical powers. Sample Text from Chiu’s Powers Chiu is late for school. But she cannot find her red bottle. Is that her bottle? Or is it a …,https://freekidsbooks.org/wp-content/uploads/2021/07/sani-and-suri-RTR-FKB.jpg
The Three Little Kittens,https://freekidsbooks.org/the-three-little-kittens/,"Author: Chou Chinith, Illustrator: Youm Kosal",https://freekidsbooks.org/wp-content/uploads/2021/04/the-three-little-kittens-RTR-FKB.epub,"A chase with a dog ends up in a humorous adventure. The three little kittens are running from a dog, so fast they don’t stop for anything, until they are trapped, will the dog catch them? Or will there be a happy ending? Sample Text from Three Little Kittens One day three little kittens meet …","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
The Bee and the Elephant,https://freekidsbooks.org/the-bee-and-the-elephant/,"Author: Long Ravy, Illustrator: Try Samphos",https://freekidsbooks.org/wp-content/uploads/2021/04/the-bee-and-the-elephant-RTR-FKB.pdf,"A little bee has lost his home and asks an elephant to help him find it. Sample Text from The Bee and the Elephant “I am lost,” said Little Bee. “I cannot find my home!” “Can you please help me, Mr. Elephant?” “Is this nest your home, Little Bee?” the elephant asked. “Oh no!” cried …",https://freekidsbooks.org/wp-content/uploads/2021/04/the-three-little-kittens-RTR-FKB.jpg
Egg – A simple mystery,https://freekidsbooks.org/egg-a-simple-mystery/,"Author: Mirna Lawrence, Illustrator: Megan Vermaak",https://freekidsbooks.org/wp-content/uploads/2021/03/egg-bookdash-fkb.epub,"In Egg Crocodile, tortoise, penguin, and chicken find an egg, is it theirs? If not whose is it? Find out in this simple book for very young children. Text from Egg Egg My Egg? Not My Egg. My Egg? Not My Egg. My Egg? Not My Egg. My Egg? Not My Egg. My egg. Our …","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"A Street, or a Zoo?",https://freekidsbooks.org/a-street-or-a-zoo/,"Authors: Mala Kumar, Manisha Chaudhry",https://freekidsbooks.org/wp-content/uploads/2021/02/a-street-or-a-zoo-fkb.epub,"Three children are playing in the street, where they happen upon several different animals. Is it a street, or a zoo? Find out what they do with the animals they find in this cute story for young children. Sample Text from A Street, or a Zoo? Sonu, Monu and Rina set out to play. They …",https://freekidsbooks.org/wp-content/uploads/2021/04/the-bee-and-the-elephant-RTR-FKB.jpg
I Want to be a Baker,https://freekidsbooks.org/i-want-to-be-a-baker/,Mai Nhia Xiong,https://freekidsbooks.org/wp-content/uploads/2020/12/I-want-to-be-a-baker-FKB.epub,"I Want to be a Baker is about a young child wanting to become a baker, and through the trials of learning, experiencing the feelings of giving up. But persevering and receiving help he eventually achieves his goals. Sample Text from I Want to be a Baker I want to be a baker! Because I …","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Goat, Dog, and Cow – A fable",https://freekidsbooks.org/goat-dog-and-cow-a-fable/,"Author: Fabian Wakholi, Illustrator: Marleen Visser",https://freekidsbooks.org/wp-content/uploads/2020/12/goat-dog-and-cow-FKB.epub,"Have you ever wondered why dogs run after cars, goats run away from them, and cows just stand their ground? This book will tell you why. Sample Text from Goat, Dog, and Cow Goat, Dog and Cow were great friends. One day they went on a journey in a taxi. They reached the end of …",https://freekidsbooks.org/wp-content/uploads/2021/03/egg-Bookdash-FKB.jpg
An Umbrella for Druvi,https://freekidsbooks.org/an-umbrella-for-druvi/,"Author: Shabnam Minwalla, Illustrator: Malvika Tewari",https://freekidsbooks.org/wp-content/uploads/2020/10/an-umbrella-for-druvi-pratham-fkb.epub,Druvi needs an umbrella to protect her wings from the rain. Join the dragonfly as she searches for the perfect leaf-umbrella. Sample Text from An Umbrella for Druvi Druvi the dragonfly has just learnt to fly. She flies near the pond with her friends. They tease the frogs and eat mosquitoes for lunch. In the …,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
A Special Nest – Inventive solution to a problem,https://freekidsbooks.org/a-special-nest-inventive-solution-to-a-problem/,"Author: Kavita Singh, Illustrator: Partho Sengupta",https://freekidsbooks.org/wp-content/uploads/2021/06/a-special-nest-RTR-FKB.epub,"A bird is trying to build her nest for the winter, but every time she finishes she is disturbed. Until one day she finds a very inventive solution to her problem. Sample Text from A Special Nest – Inventive solution to a problem Winter is approaching. A bird decides to build a nest. She gathers …",https://freekidsbooks.org/wp-content/uploads/2021/02/a-street-or-a-zoo-fkb.jpg
Have you seen Sundari? – A finding game,https://freekidsbooks.org/have-you-seen-sundari-a-finding-game/,Aindri C,https://freekidsbooks.org/wp-content/uploads/2021/06/have-you-seen-sundari-pratham-FKB.epub,"A little girl looks for her frog, Sundari, on each page you can try to find where Sundari is hiding. A fun finding game for young children. Text from Have You Seen Sundari? – A finding game Have you seen Sundari? Sundari is green and loves to hide. Is Sundari hiding among the water lilies? …","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
The Ocean Dream,https://freekidsbooks.org/the-ocean-dream/,"Author: Nhã Thuyên, Illustrator: Lê Thị Bích Khoa",https://freekidsbooks.org/wp-content/uploads/2021/06/the-ocean-dream-fkb.epub,Coral loves exploring the river. She wonders if it can take her to the ocean. Then one day she saves a rainbow fish and goes on an adventure. Is it real or all a dream? Will she ever see the rainbow fish again? Sample Text from The Ocean Dream Coral loves to explore her river. …,https://freekidsbooks.org/wp-content/uploads/2020/12/I-want-to-be-a-baker-FKB-1.jpg
